20180410 13:33:23.9499 2  8 Information SetupServiceFacade RGB(255, 55, 85) Downloading packages
20180410 13:33:26.7601 2  8 Information SetupServiceFacade RGB(255, 55, 85) Setting up the system for the first time
20180410 13:33:27.4795 2  8 Information SetupServiceFacade RGB(255, 55, 85) Creating first locale: en-US
20180410 13:33:27.6140 2  8 Information SetupServiceFacade RGB(255, 55, 85) Creating first user: admin
20180410 13:33:28.0240 2  8 Information PackageManagerInstallProcess  Installing package: Base Configuration for C1, Version: 2.0.2, Id = 01292282-3cb3-4d87-851f-da49ef547f8a
20180410 13:33:28.0453 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:28.0955 2  8 Information PackageManagerInstallProcess  Installing package: Basic Usergroup Configuration for C1, Version: 2.0.1, Id = 9b6b0ea9-1f21-4692-aff8-bc9dd33cabec
20180410 13:33:28.1436 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:28.1697 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Navigation.LanguageSwitcher.Razor, Version: 2.0.5, Id = e899e5e7-bbeb-40bd-b236-b77102718772
20180410 13:33:28.1948 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:28.2123 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Navigation.Distributed.Razor, Version: 2.0.1, Id = 8b5441b9-4622-4392-a413-5a8f79c17032
20180410 13:33:28.2369 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:28.2870 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Css.Less, Version: 1.3.2, Id = b1b27757-a065-41fd-91b0-e8e5f2a0e8d0
20180410 13:33:34.7122 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:34.7891 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.FontAwesome, Version: 1.0.0, Id = 41a3542b-41fb-4c42-984d-4b92f66b2088
20180410 13:33:35.1614 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:35.1884 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.BundlingAndMinification, Version: 1.2.1, Id = 83472ca2-e38e-44f3-9d10-8194b23fdee8
20180410 13:33:35.3926 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:35.4107 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Web.Config.Html5MimeTypes, Version: 1.0.7, Id = 00a9f643-684c-4fec-ae45-2d9d9547d747
20180410 13:33:35.4355 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:35.7150 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Forms.FormBuilder, Version: 1.3.1, Id = b540f296-420d-44ef-b83e-d067850b2381
20180410 13:33:37.3695 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:37.5983 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Media.ImageCrop, Version: 1.1.0, Id = 307927b4-600b-45d9-a61a-437d4ffe9ebf
20180410 13:33:37.8586 2  8 Information Composite.Localization.C1Console.FragmentInstaller  Start fixing Composite.config
20180410 13:33:37.8687 2  8 Information Composite.Localization.C1Console.FragmentInstaller  Composite.config - fixed..
20180410 13:33:37.8777 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:38.0067 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Community.Blog, Version: 2.5.2, Id = 303b7865-055b-4fe7-a429-907b32bb6776
20180410 13:33:40.6049 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:40.6219 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Media.YouTube, Version: 2.0.8, Id = f19a2878-d14d-431c-8f3e-14367b553c82
20180410 13:33:40.6470 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:40.6721 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Media.ImageGallery.Slimbox2, Version: 1.2.1, Id = e41ec59b-1e4c-42e9-8682-21806ae3072b
20180410 13:33:40.8292 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:40.9597 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Tools.LinkChecker, Version: 1.0.1, Id = eb94930c-4bdf-478b-b779-6ef617f3aec2
20180410 13:33:41.1025 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:41.1260 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Search.WebsiteSearch, Version: 1.0.4, Id = 443db04a-af4f-4eda-abdf-41bd052ded91
20180410 13:33:41.2586 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:41.3739 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Search.LuceneNET, Version: 1.1.8, Id = 62a2e5bd-b54f-4d3c-8dfd-70fbb7902285
20180410 13:33:42.1294 2  8 Information DllPackageFragmentInstaller  Skipping installation for file '~\bin\ICSharpCode.SharpZipLib.dll' version '0.86.0.518'. An assembly with the same version already exists.
20180410 13:33:42.2347 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:42.2793 2  8 Information PackageManagerInstallProcess  Installing package: Composite.Lists.Profiles, Version: 1.1.0, Id = 4ddb9a49-3f1b-4f03-a54f-81a64f36f751
20180410 13:33:44.2576 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.2867 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.GetStyleOptionsFromFile, Version: 1.0.0, Id = 47cd15a3-10ee-4940-b4d0-9791381004bd
20180410 13:33:44.3358 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.3577 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.ImageAndTextTeaser, Version: 1.0.4, Id = 3ed89811-840d-42de-a118-4345eead2073
20180410 13:33:44.3932 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.4162 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.StatementTeaser, Version: 1.0.3, Id = 3fff5817-2a8f-4722-88e6-1f174ed81bff
20180410 13:33:44.4482 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.4673 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.Grid.Columns, Version: 1.0.5, Id = 38fefd63-5db7-41aa-b0cd-2bdf13452aea
20180410 13:33:44.4944 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.5234 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.TeaserCards, Version: 1.0.6, Id = 3cc59684-bd70-4ce9-a444-b9b102b018fe
20180410 13:33:44.6186 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.6392 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.LinkButton, Version: 1.0.2, Id = 4d59f41b-92fd-4a51-a164-7731556a85b8
20180410 13:33:44.6809 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:44.7039 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.Web.Html.Jumbotron, Version: 1.0.2, Id = 40c17ce5-df89-458d-93a9-d09f80b475ec
20180410 13:33:47.1769 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:47.1989 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Venus.Templates.Razor, Version: 2.0.2, Id = 1136ef29-1bc5-4aac-94e8-7463ea857eb8
20180410 13:33:47.2832 2  8 Information PackageManagerInstallProcess  Package successfully installed
20180410 13:33:47.3384 2  8 Information PackageManagerInstallProcess  Installing package: Orckestra.StarterSite.Venus.Core, Version: 2.0.9, Id = 65d06d1e-e810-49f4-98c8-4a336936f5cc
